ion,airwave,ritzwave,relint
Cu I,6032.33,6032.39,2
Cu II,6072.218,,250
Cu II,6080.343,,150
Cu II,6099.990,,150
Cu III,6100.87,,30
Cu II,6107.412,,160
Cu II,6114.493,,300
Cu I,6127.73,6127.958,1
Cu II,6150.384,,600
Cu II,6154.222,,750
Cu I,6165.7,6165.782,1
Cu XXVIII,,6171,
Cu II,6172.037,,500
Cu II,6186.884,,550
Cu II,6188.676,,400
Cu II,6198.092,,300
Cu II,6204.261,,470
Cu II,6208.457,,450
Cu II,6216.939,,750
Cu II,6219.844,,700
Cu I,6221.11,6221.19,2
Cu I,6223.66,6223.69,4
Cu I,6233.79,6233.82,1
Cu I,6253.37,6253.38,1
Cu II,6261.848,,500
Cu I,6268.30,6268.33,20
Cu II,6273.349,,1000
Cu II,6288.696,,350
Cu II,6301.009,,900
Cu II,6305.972,,550
Cu II,6312.492,,400
Cu I,6325.45,6325.370,5
Cu II,6326.466,,120
Cu I,6358.09,6358.206,0
Cu III,6369.27,,50
Cu II,6373.268,,400
Cu I,6373.3,6373.49,1
Cu II,6377.840,,750
Cu II,6403.384,,400
Cu I,6415.18,6415.20,0
Cu II,6423.884,,850
Cu I,6427.57,6427.570,1
Cu I,6433.35,6433.52,1
Cu II,6442.965,,200
Cu II,6448.559,,750
Cu II,6466.246,,170
Cu II,6470.168,,950
Cu I,6474.20,6474.190,10
Cu II,6481.437,,750
Cu II,6484.421,,400
Cu I,6485.18,6485.156,5
Cu I,6506.14,6506.327,0
Cu III,6512.54,,20
Cu II,6517.317,,220
Cu II,6530.083,,400
Cu I,6550.98,6550.98,1
Cu II,6551.286,,120
Cu I,6565.54,6565.28,1
Cu II,6577.080,,200
Cu I,6583.54,6583.50,0
Cu I,6599.68,6599.58,0
Cu I,6621.61,6621.60,30
Cu II,6624.292,,750
Cu I,6629.67,6629.73,5
Cu I,6634.7,6634.61,2
Cu II,6641.396,,800
Cu III,6644.13,,20
Cu II,6660.962,,450
Cu I,6672.23,6672.22,10
Cu I,6741.42,6741.40,100
Cu I,6749.29,6749.721,2
Cu II,6770.362,,100
Cu I,6775.64,6775.69,2
Cu III,6793.20,,50
Cu II,6806.216,,300
Cu II,6809.647,,400
Cu I,6821.86,6821.96,2
Cu II,6823.202,,320
Cu I,6835.46,6835.45,1
Cu I,6840.99,6840.98,3
Cu II,6844.157,,250
Cu II,6868.791,,320
Cu II,6872.231,,270
Cu II,6879.404,,270
Cu I,6881.94,6881.944,10
Cu I,6889.92,6889.86,10
Cu I,6890.90,6890.83,10
Cu I,6890.90,6890.91,10
Cu I,6905.94,6905.885,100
Cu I,6920.06,6920.04,50
Cu I,6935.82,6935.79,5
Cu II,6937.553,,220
Cu II,6952.871,,150
Cu I,6968.34,6968.317,5
Cu II,6977.572,,150
Cu I,7000.05,6999.88,2
Cu II,7022.860,,200
Cu I,7039.37,7039.34,25
Cu I,7039.37,7039.467,25
Cu I,7039.37,7039.625,25
Cu I,7124.66,7124.70,5
Cu I,7154.29,7154.32,5
Cu I,7193.56,7193.58,50
Cu II,7194.896,,300
Cu II,7326.008,,400
Cu II,7331.694,,300
Cu II,7382.277,,250
Cu II,7404.354,,1000
Cu I,7427.2,7427.22,5
Cu II,7434.156,,270
Cu I,7452.5,7452.80,2
Cu II,7562.015,,500
Cu I,7570.09,7570.01,200
Cu II,7652.333,,700
Cu II,7664.648,,1000
Cu II,7681.788,,150
Cu II,7744.097,,450
Cu II,7778.738,,800
Cu II,7805.184,,750
Cu II,7807.659,,1500
Cu II,7825.654,,1000
Cu II,7860.577,,350
Cu II,7890.567,,300
Cu II,7902.553,,700
Cu I,7933.130,7933.126,1500
Cu II,7944.438,,400
Cu II,7972.033,,400
Cu II,7988.163,,1200
Cu I,8006.21,8005.95,4
Cu I,8092.634,8092.626,2000
Cu II,8277.560,,500
Cu II,8283.160,,800
Cu I,8408.15,8407.741,20
Cu II,8503.396,,250
Cu II,8511.061,,750
Cu I,8584.0,8583.665,10
Cu II,8609.134,,200
Cu I,8831.3,8831.02,1
Cu I,8996.2,8996.17,20
Cu I,9213.75,9213.69,0
Cu I,9256.8,9257.52,1
Cu I,9263.54,9263.53,3
Cu I,9472.4,9473.58,2
Cu I,9530.3,9529.12,10
Cu I,9739.6,9739.54,4
Cu II,9813.213,,500
Cu II,9827.978,,250
Cu II,9830.798,,200
Cu II,9861.280,,600
Cu II,9864.137,,600
Cu II,9883.969,,200
Cu II,9916.419,,550
Cu II,9917.954,,500
Cu II,9925.594,,550
Cu II,9938.998,,450
Cu II,9960.354,,500
