ion,airwave,ritzwave,relint
Ne I,4203.270,4203.27,20
Ne II,4205.596,4205.5929,80
Ne II,4206.501,4206.5014,100
Ne III,4207.32,4207.349,120
Ne II,,4217.068,
Ne II,4217.1702,4217.1706,180
Ne II,4219.367,4219.3658,160
Ne II,4219.7452,4219.7453,300
Ne II,4220.8935,4220.8938,180
Ne II,4221.086,4221.0860,120
Ne VIII,4221.8,4221,20
Ne VIII,4221.8,4225,20
Ne III,4224.07,4224.07,200
Ne II,4224.473,4224.4721,100
Ne II,4224.641,4224.641,120
Ne III,4226.06,4226.01,240
Ne II,,4226.920,
Ne III,4229.35,4229.32,300
Ne II,4231.5332,4231.5332,160
Ne II,4231.6362,4231.6363,180
Ne I,4232.323,4232.32,10
Ne II,4233.8466,4233.8466,200
Ne II,4239.9190,4239.9110,160
Ne II,4240.1049,4240.1049,180
Ne II,4242.038,4242.0386,60
Ne II,4242.210,4242.209,120
Ne II,,4242.863,
Ne II,,4242.946,
Ne I,4249.538,4249.55,20
Ne II,4250.6469,4250.6465,240
Ne I,4252.418,4252.42,20
Ne I,4252.775,4252.78,20
Ne I,4256.498,4256.49,20
Ne I,4256.498,4256.49,20
Ne II,4257.181,4257.180,80
Ne II,4257.395,4257.399,80
Ne II,4257.8024,4257.8019,180
Ne I,4259.739,4259.73,10
Ne III,4261.98,4261.99,240
Ne II,4262.442,4262.456,40
Ne I,4262.479,4262.48,20
Ne III,4265.22,4265.22,200
Ne I,4267.286,4267.287,10
Ne II,4267.382,4267.3917,60
Ne I,4267.724,4267.720,50
Ne I,4268.0086,4268.005,700
Ne III,4268.05,4268.05,160
Ne I,4269.7223,4269.722,700
Ne I,4270.2252,4270.225,500
Ne I,4274.6617,4274.660,500
Ne I,4275.167,4275.1579,10
Ne I,4275.5590,4275.5572,700
Ne I,4278.850,4278.84,50
Ne I,4279.279,4279.28,150
Ne II,,4280.437,
Ne II,,4280.581,
Ne I,4283.242,4283.24,100
Ne I,4288.541,4288.53,50
Ne I,4289.799,4289.79,20
Ne II,4290.374,4290.374,180
Ne II,4290.602,4290.603,160
Ne I,4291.976,4291.99,20
Ne I,4291.976,4291.99,20
Ne I,4291.976,4291.99,20
Ne II,4294.27,4294.2848,19
